city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance,total
1,240,3,3,4,0,1,1,0.0,8000.0,1000.0,121.0,9121.0
0,64,2,1,1,10,1,0,540.0,820.0,122.0,11.0,1493.0
1,443,5,5,4,3,1,1,4172.0,7000.0,1417.0,89.0,12680.0
1,73,2,2,1,12,1,0,700.0,1250.0,150.0,16.0,2116.0
1,19,1,1,0,0,0,0,0.0,1200.0,41.0,16.0,1257.0
1,13,1,1,0,2,1,0,0.0,2200.0,42.0,28.0,2270.0
1,55,1,1,1,2,1,1,1950.0,5000.0,375.0,64.0,7389.0
1,55,2,2,1,2,1,0,600.0,1300.0,67.0,17.0,1984.0
1,82,3,1,1,3,1,1,828.0,2000.0,109.0,26.0,2963.0
1,32,1,1,1,16,1,0,533.0,2900.0,0.0,37.0,3470.0
0,60,1,1,0,6,1,0,480.0,720.0,20.0,10.0,1230.0
0,64,1,2,1,4,1,1,406.0,1550.0,0.0,7.0,1963.0
1,20,1,1,0,4,1,1,602.0,1800.0,130.0,23.0,2555.0
1,375,4,5,5,1,1,0,4793.0,15000.0,2805.0,191.0,22790.0
1,92,2,1,1,7,0,1,690.0,3950.0,0.0,51.0,4691.0
0,56,2,1,1,1,1,0,345.0,950.0,11.0,13.0,1319.0
0,188,2,3,8,0,1,0,0.0,3010.0,584.0,46.0,3640.0
1,100,3,2,1,0,1,0,0.0,3500.0,260.0,53.0,3813.0
1,192,3,3,2,13,1,0,2100.0,7800.0,634.0,99.0,10630.0
1,93,3,2,1,10,1,0,1497.0,3500.0,227.0,45.0,5269.0
1,155,3,3,2,0,1,0,0.0,2650.0,233.0,40.0,2923.0
1,80,2,2,0,9,0,0,600.0,2550.0,46.0,33.0,3229.0
1,65,2,2,2,14,0,0,907.0,3500.0,0.0,45.0,4452.0
1,320,3,3,4,0,1,0,0.0,9000.0,1000.0,136.0,10140.0
1,180,3,5,3,3,1,0,2900.0,8100.0,0.0,103.0,11100.0
1,31,1,1,1,4,1,0,272.0,3200.0,64.0,41.0,3577.0
1,105,4,2,2,3,1,0,1659.0,6500.0,400.0,83.0,8642.0
1,300,3,4,2,9,1,1,2000.0,14000.0,1084.0,178.0,17260.0
0,150,3,2,2,13,1,0,1370.0,1800.0,250.0,23.0,3443.0
1,130,3,3,2,0,1,0,0.0,6000.0,84.0,91.0,6175.0
1,70,2,1,0,1,1,0,521.0,3000.0,50.0,39.0,3610.0
1,120,3,1,4,0,1,0,0.0,3500.0,234.0,53.0,3787.0
1,250,3,4,2,0,1,0,300.0,3480.0,360.0,53.0,4193.0
1,50,1,1,0,1,1,0,325.0,1550.0,25.0,20.0,1920.0
1,240,3,3,3,3,1,0,4132.0,3800.0,952.0,49.0,8933.0
1,250,4,4,2,0,0,0,683.5,6600.0,0.0,100.0,6700.0
0,94,3,3,2,1,1,0,750.0,2200.0,192.0,28.0,3170.0
1,176,3,4,3,4,1,0,1600.0,6500.0,775.0,83.0,8958.0
1,180,3,4,5,0,1,0,683.5,3300.0,266.0,50.0,3616.0
1,191,3,3,4,1,1,1,2605.0,15000.0,1299.0,191.0,19100.0
1,25,1,1,0,14,1,0,257.0,1698.0,0.0,22.0,1977.0
1,800,4,5,4,9,1,0,6000.0,15000.0,3334.0,191.0,24530.0
1,340,3,4,3,0,1,1,0.0,9800.0,392.0,148.0,10340.0
1,90,2,1,0,0,0,0,0.0,1450.0,50.0,22.0,1522.0
0,650,5,4,8,0,1,1,0.0,8500.0,442.0,128.0,9070.0
1,100,2,2,0,1,1,0,0.0,2700.0,265.0,35.0,3000.0
1,230,4,4,4,1,1,1,2300.0,13500.0,1084.0,172.0,17060.0
1,190,2,3,2,0,1,0,0.0,13050.0,1284.0,197.0,14530.0
1,205,4,4,6,5,1,0,2450.0,2720.0,959.0,35.0,6164.0
1,96,3,3,2,8,1,0,866.0,1790.0,90.0,23.0,2769.0
1,396,4,4,4,0,1,0,0.0,10000.0,750.0,151.0,10900.0
0,74,3,2,1,7,1,0,650.0,1600.0,250.0,21.0,2521.0
0,30,1,1,0,5,0,1,380.0,500.0,10.0,7.0,897.0
1,64,3,2,1,7,1,0,522.0,1400.0,65.0,18.0,2005.0
1,105,3,2,2,1,1,1,1544.0,7800.0,488.0,99.0,9931.0
1,50,1,2,1,10,1,1,1050.0,5900.0,259.0,75.0,7284.0
1,60,2,1,0,3,0,0,400.0,1300.0,0.0,17.0,1717.0
1,50,2,1,1,6,1,1,585.0,2000.0,49.0,26.0,2660.0
1,90,2,2,0,0,1,0,0.0,1700.0,38.0,26.0,1764.0
1,130,3,2,1,8,0,1,1200.0,7500.0,417.0,96.0,9213.0
1,20,1,1,0,1,0,1,683.5,1950.0,0.0,25.0,1975.0
1,400,4,3,2,0,1,0,0.0,5650.0,338.0,85.0,6073.0
1,220,3,3,5,0,1,0,0.0,7500.0,0.0,113.0,7613.0
1,750,7,6,5,0,1,1,0.0,5800.0,559.0,88.0,6447.0
1,20,1,1,0,0,1,1,602.0,1800.0,130.0,23.0,2555.0
0,140,3,2,2,15,0,0,998.0,2100.0,283.0,27.0,3408.0
1,22,1,1,0,0,0,0,250.0,1080.0,14.0,14.0,1358.0
1,345,2,3,2,4,0,0,3655.0,12000.0,783.0,153.0,16590.0
0,46,2,1,1,3,0,0,250.0,1100.0,53.0,5.0,1408.0
1,35,1,1,1,2,0,1,550.0,3250.0,30.0,42.0,3872.0
0,72,2,2,1,2,1,0,500.0,1200.0,97.0,16.0,1813.0
1,60,1,1,2,2,0,0,3398.0,1900.0,288.0,25.0,5611.0
1,180,3,2,4,0,0,1,0.0,11000.0,667.0,166.0,11830.0
1,83,3,2,1,9,0,1,805.0,3300.0,80.0,42.0,4227.0
1,50,1,1,0,1,1,0,519.0,1550.0,28.0,20.0,2117.0
1,38,1,1,1,14,0,1,1620.0,3020.0,279.0,39.0,4958.0
1,140,3,3,2,2,1,0,1300.0,2800.0,292.0,36.0,4428.0
0,62,2,1,1,3,1,0,485.0,980.0,48.0,13.0,1526.0
1,70,1,1,0,2,1,1,1500.0,4000.0,284.0,51.0,5835.0
0,55,1,1,0,14,1,0,600.0,1100.0,60.0,14.0,1774.0
0,60,2,1,1,1,0,0,430.0,815.0,20.0,6.0,1271.0
1,85,2,2,1,6,1,0,1250.0,1738.0,261.0,23.0,3272.0
1,134,3,3,3,11,0,0,1655.0,8000.0,380.0,102.0,10140.0
1,200,3,2,2,19,1,0,2573.0,10000.0,1121.0,127.0,13820.0
1,170,3,2,2,0,1,1,0.0,3900.0,267.0,59.0,4226.0
1,46,1,1,2,16,1,1,2210.0,6220.0,255.0,79.0,8764.0
1,20,1,1,0,4,1,1,602.0,1800.0,130.0,23.0,2555.0
1,58,2,2,1,5,0,1,1000.0,4500.0,144.0,58.0,5702.0
1,96,3,2,3,4,1,0,1024.0,2350.0,313.0,30.0,3717.0
1,190,3,3,3,6,1,0,3000.0,13000.0,84.0,165.0,16250.0
1,87,3,2,4,14,1,0,800.0,2000.0,67.0,26.0,2893.0
1,42,1,1,0,5,1,0,350.0,2400.0,94.0,31.0,2875.0
1,145,3,3,1,10,1,1,1380.0,11000.0,375.0,140.0,12900.0
1,250,4,6,4,12,0,0,3000.0,14500.0,875.0,184.0,18560.0
1,90,2,1,1,1,1,0,1000.0,3000.0,50.0,39.0,4089.0
1,250,6,2,2,0,1,0,0.0,2472.0,26.0,38.0,2536.0
1,500,3,4,5,0,1,1,0.0,7620.0,1094.0,115.0,8829.0
1,80,2,2,2,6,1,1,1581.0,8800.0,112.0,112.0,10610.0
0,120,3,2,3,0,1,0,0.0,2500.0,180.0,38.0,2718.0
0,265,3,3,2,0,1,0,0.0,2400.0,140.0,37.0,2577.0
0,50,2,1,1,4,1,0,330.0,1080.0,0.0,14.0,1424.0
0,126,3,3,2,1,1,0,780.0,3800.0,167.0,49.0,4796.0
0,55,2,1,1,1,1,0,390.0,720.0,0.0,10.0,1120.0
1,29,1,1,1,20,1,1,700.0,2700.0,84.0,35.0,3519.0
1,59,2,1,1,24,1,0,514.0,2450.0,138.0,32.0,3134.0
1,200,2,4,4,4,1,0,2450.0,7800.0,1417.0,99.0,11770.0
1,74,3,2,1,7,1,0,577.0,2196.0,100.0,28.0,2901.0
1,290,4,5,2,6,1,0,4300.0,10000.0,875.0,127.0,15300.0
1,172,3,4,3,1,1,0,1596.0,8000.0,820.0,102.0,10520.0
1,25,1,1,0,5,0,1,270.0,2600.0,67.0,33.0,2970.0
1,50,1,1,1,0,1,0,0.0,1100.0,0.0,17.0,1117.0
1,40,1,1,0,3,1,0,300.0,1100.0,0.0,14.0,1414.0
1,80,2,2,2,0,1,0,0.0,2465.0,0.0,38.0,2503.0
1,280,6,6,3,0,1,0,0.0,5000.0,1118.0,76.0,6194.0
1,60,1,1,1,12,1,1,850.0,4723.0,0.0,18.0,5591.0
1,115,2,3,2,8,1,0,1380.0,12000.0,790.0,153.0,14320.0
1,540,3,3,4,9,1,0,6200.0,15000.0,3500.0,191.0,24890.0
1,76,2,1,1,12,0,1,906.0,4250.0,217.0,54.0,5427.0
0,150,4,5,2,1,1,0,1100.0,2980.0,360.0,38.0,4478.0
1,130,3,2,1,8,1,0,2400.0,5500.0,209.0,70.0,8179.0
0,64,2,1,1,0,1,0,441.0,730.0,18.0,10.0,1199.0
1,55,2,2,1,2,1,0,420.0,1300.0,50.0,17.0,1787.0
1,50,1,1,0,1,1,0,600.0,1300.0,0.0,17.0,1917.0
1,120,2,3,2,20,1,0,2000.0,7000.0,180.0,89.0,9269.0
0,236,3,4,4,10,1,0,1600.0,11000.0,440.0,140.0,13180.0
0,30,1,1,0,4,1,0,336.0,550.0,10.0,7.0,903.0
0,270,3,3,0,0,1,1,0.0,8000.0,500.0,121.0,8621.0
0,48,1,1,0,9,1,0,350.0,670.0,21.0,9.0,1050.0
0,198,6,3,4,0,1,0,0.0,2000.0,145.0,31.0,2176.0
1,50,1,1,0,0,1,0,0.0,1080.0,59.0,17.0,1156.0
1,185,3,3,3,20,1,0,2670.0,5600.0,907.0,71.0,9248.0
1,440,4,4,4,0,1,0,0.0,12000.0,2500.0,181.0,14680.0
0,119,3,2,2,7,1,0,1650.0,1200.0,212.0,16.0,3078.0
1,57,2,2,2,16,1,0,510.0,1690.0,11.0,22.0,2233.0
1,65,2,1,1,1,1,0,100.0,1400.0,84.0,18.0,1602.0
1,35,2,1,1,0,1,0,125.0,2100.0,0.0,32.0,2257.0
0,51,1,2,1,16,0,0,703.0,2100.0,150.0,27.0,2980.0
0,70,2,3,1,7,1,0,1196.0,2004.0,0.0,26.0,3226.0
1,90,2,1,1,0,1,0,683.5,1500.0,0.0,23.0,1523.0
1,320,3,4,3,8,1,0,3400.0,6800.0,1.0,87.0,10290.0
1,250,7,5,2,0,1,0,0.0,12750.0,1045.0,192.0,13990.0
1,70,2,1,1,6,1,0,660.0,3800.0,45.0,49.0,4554.0
1,169,4,6,3,7,1,1,2560.0,10000.0,734.0,127.0,13420.0
1,33,1,1,0,1,0,0,338.0,1100.0,63.0,14.0,1515.0
1,225,4,4,3,7,1,0,2800.0,5000.0,1267.0,64.0,9131.0
1,42,1,1,0,2,1,1,0.0,3256.0,0.0,42.0,3298.0
1,120,3,4,1,0,0,0,0.0,4000.0,4.0,61.0,4065.0
1,70,3,2,2,3,0,0,750.0,1500.0,148.0,20.0,2418.0
1,90,1,1,2,0,1,1,0.0,3200.0,137.0,49.0,3386.0
1,260,4,5,4,9,1,1,2014.0,3300.0,1000.0,42.0,6356.0
1,243,3,3,4,10,1,0,2678.0,5500.0,1950.0,70.0,10200.0
1,100,1,1,0,0,1,0,0.0,1530.0,0.0,12.0,1542.0
1,240,3,4,3,9,1,0,3211.0,5100.0,1102.0,65.0,9478.0
0,45,1,1,1,4,1,0,700.0,870.0,46.0,12.0,1628.0
1,65,1,1,1,2,1,1,680.0,5000.0,14.0,64.0,5758.0
1,47,1,1,0,4,0,0,100.0,1000.0,76.0,13.0,1189.0
1,60,2,1,0,2,1,1,589.0,3300.0,65.0,42.0,3996.0
1,340,4,6,6,0,1,1,683.5,15000.0,250.0,226.0,15480.0
1,500,4,4,0,0,1,0,0.0,6000.0,467.0,91.0,6558.0
1,55,2,1,1,14,1,0,420.0,1399.0,0.0,18.0,1837.0
1,240,3,4,3,3,1,1,3600.0,4950.0,1000.0,63.0,9613.0
1,65,2,2,1,1,1,0,650.0,2315.0,0.0,7.0,2972.0
1,68,1,1,0,0,0,0,0.0,1213.0,0.0,6.0,1219.0
1,500,4,4,3,0,1,0,683.5,10800.0,988.0,163.0,11950.0
1,198,2,2,2,13,1,0,1700.0,5500.0,320.0,70.0,7590.0
1,62,2,1,1,13,1,0,543.0,2200.0,59.0,28.0,2830.0
1,60,2,2,1,4,1,0,632.0,2806.0,25.0,36.0,3499.0
1,187,3,2,3,0,0,1,1700.0,8400.0,584.0,127.0,10810.0
1,25,1,1,0,23,1,0,432.0,2200.0,45.0,28.0,2705.0
